emp_no,first_name,last_name,title,from_date,to_date
10217,Yongmin,Roison,Technique Leader,1986-05-12,1993-08-05
10224,Leon,Trogemann,Engineer,1988-01-09,1996-01-09
10228,Karoline,Cesareni,Staff,1992-12-22,1998-12-22
10229,Ulises,Takanami,Engineer,1996-02-20,2000-06-30
10230,Clyde,Vernadat,Staff,1996-06-16,2002-06-16
10233,Lein,Vendrig,Staff,1994-04-29,2000-04-28
10237,Yannis,Mandell,Staff,1989-08-11,1997-08-11
10248,Frederique,Tempesti,Staff,1991-08-13,1997-08-12
10249,Marie,Boreale,Engineer,1991-12-08,2000-12-07
10258,Basil,Ishibashi,Assistant Engineer,1985-05-17,1991-05-17
10278,Lubomir,Nitsch,Engineer,1993-07-02,1997-02-14
10281,Moty,Kusakari,Engineer,1994-12-03,2000-12-02
10282,Hercules,Benzmuller,Assistant Engineer,1996-05-02,2001-05-02
10283,Kauko,Birjandi,Engineer,1988-05-25,1995-05-26
10286,Saddek,Gopalakrishnan,Staff,1994-12-24,1999-01-24
10294,Rutger,Miara,Senior Engineer,1999-01-30,1999-05-04
10295,Kristine,Velardi,Staff,1995-06-19,2000-06-18
10302,Faiza,Baer,Staff,1986-07-22,1994-07-22
10305,Hirochika,Piancastelli,Engineer,1988-10-31,1992-06-02
10321,Guenter,Ravishankar,Staff,1995-07-24,1999-08-14
10322,Isamu,Dahlbom,Engineer,1990-01-29,1997-01-29
10327,Roded,Facello,Engineer,1987-09-18,1993-05-22
10333,Snehasis,Dymetman,Engineer,1993-01-16,1998-01-16
10340,Djelloul,Laventhal,Staff,1988-03-30,1993-03-30
10349,Oksana,Brodie,Staff,1991-09-28,1997-09-27
10350,Kristen,Kavvadias,Assistant Engineer,1991-05-11,1997-05-10
10363,Toshiki,Muniz,Assistant Engineer,1985-09-11,1993-02-12
10367,Hyuckchul,Gini,Staff,1991-06-24,2000-06-23
10374,Willard,Rosin,Staff,1993-12-08,1996-03-29
10382,Shirish,Dredge,Engineer,1998-07-01,2000-10-27
10387,Parto,Wrigley,Staff,1994-01-07,1999-01-07
10395,Takahiro,Deverell,Engineer,1998-08-10,2001-08-13
10404,Prodip,Rosti,Engineer,1988-08-28,1996-08-28
10413,Danel,Impagliazzo,Staff,1991-12-27,1997-12-26
10414,Yinlin,Alpin,Senior Engineer,1990-05-30,1994-12-02
10432,Hisao,Tiemann,Staff,1990-08-13,1996-08-12
10433,Reuven,Dengi,Assistant Engineer,1992-11-26,1999-11-27
10442,Volkmar,Unno,Staff,1992-02-12,1999-02-12
10443,Shichao,Litvinov,Senior Engineer,1989-08-01,2002-07-06
10451,Bodh,Ranta,Engineer,1993-03-12,1998-03-12
10453,Tsvetan,Matzel,Staff,1985-04-02,1993-04-02
10466,Jiakeng,Himler,Staff,1997-08-22,2000-08-15
10477,Guoxiang,Trogemann,Engineer,1997-05-26,2002-05-26
10486,Amstein,Kossowski,Engineer,1987-10-08,1996-10-07
10494,Yakkov,Servieres,Engineer,1991-12-18,2000-12-17
10497,Pramod,Rabehasaina,Engineer,1992-01-22,1999-01-22
10499,Maik,Luft,Staff,1996-07-31,2001-07-31
10509,Abdelwaheb,Riesenhuber,Staff,1992-10-06,1997-10-06
10512,Udi,Gihr,Staff,1989-11-28,1998-11-28
10519,Yonghoan,Alencar,Senior Staff,2000-12-05,2001-10-13
10522,Marke,Cesareni,Staff,1986-12-12,1995-12-12
10538,Przemyslawa,Falby,Senior Engineer,1987-07-23,1998-12-13
10541,Godehard,Eiter,Staff,1986-02-28,1986-10-01
10548,Ramalingam,Gunderson,Staff,1986-07-04,1993-07-04
10564,Jianhao,Thisen,Engineer,1995-11-23,2000-11-22
10575,Theirry,Yeung,Senior Engineer,1988-10-04,2000-11-22
10586,Kirk,Vuskovic,Engineer,1992-02-04,2000-02-04
10591,Hidde,Hettesheimer,Staff,1987-06-18,1988-09-20
10593,Falguni,Kenevan,Engineer,1990-09-12,1999-09-12
10596,Sanjit,Coors,Staff,1996-05-23,2001-05-23
10608,Adhemar,Talmor,Senior Engineer,1986-05-25,1991-06-02
10614,Gila,Ozeri,Engineer,1990-03-03,1998-03-03
10615,Keung,Delgrande,Staff,1996-03-10,2002-03-10
10617,Hidekazu,Angel,Senior Staff,1991-10-30,2001-10-03
10623,Aleksander,Danlos,Engineer,1992-01-15,1999-01-15
10628,Krisda,Krogh,Engineer,1994-03-14,2001-03-14
10629,Lalit,Francisci,Staff,1999-10-20,2001-12-07
10634,Nahid,Chepyzhov,Assistant Engineer,1990-11-11,1995-11-11
10637,Heejo,Frolund,Senior Staff,1998-07-11,2000-01-19
10639,Pramod,Erol,Engineer,1992-10-25,1999-10-26
10641,Guozhong,Zucker,Assistant Engineer,1993-03-21,1999-03-21
10671,Parviz,Rebaine,Staff,1995-09-14,2001-09-13
10672,Bluma,Zeilberger,Senior Engineer,1991-09-29,1996-04-19
10693,Berhard,Daescu,Staff,1986-01-08,1991-01-08
10694,Rildo,Straney,Senior Staff,1993-01-25,2001-07-11
10712,Uma,Koprowski,Engineer,1994-08-18,2001-08-18
10718,Adib,Rullman,Engineer,1988-07-21,1997-07-21
10726,Zita,Minakawa,Engineer,1992-02-25,2001-02-24
10731,Fumitaka,Peak,Senior Staff,1994-02-20,2000-10-09
10741,Sven,Huttel,Staff,1989-01-06,1997-01-06
10745,Poorav,Ranze,Engineer,1988-01-23,1997-01-22
10747,Falguni,Khalid,Senior Engineer,1990-10-08,1999-09-20
10749,King,Brendel,Engineer,1985-09-26,1990-09-26
10751,Jordanka,Ushiama,Engineer,1999-12-14,2000-12-05
10764,Yunming,Beetstra,Engineer,1989-11-27,1998-11-27
10768,Ishfaq,Candan,Engineer,1985-07-04,1990-07-04
10777,Mizuhito,Kemmerer,Senior Engineer,1996-03-16,2001-03-27
10780,Goncalo,Staudhammer,Engineer,1994-08-01,1996-08-18
10782,Kish,Perna,Staff,1997-07-06,2002-03-30
10791,Tadahiko,Sgarro,Engineer,1988-07-30,1995-07-31
10795,Supot,Naudin,Staff,1993-05-03,1999-05-03
10801,Uinam,Zschoche,Engineer,1998-04-07,2001-01-15
10803,Katsuyuki,Velasco,Engineer,1988-04-20,1997-04-20
10814,Nidapan,Dymetman,Staff,1993-07-17,1998-07-17
10829,Alper,Narahara,Staff,1993-07-21,1993-11-29
10830,Fen,Fiebach,Staff,1991-08-24,1997-08-23
10834,Huiqun,Rajcani,Assistant Engineer,1990-11-24,1999-11-24
10847,Theirry,Danley,Staff,1986-07-25,1992-07-24
10848,Fen,Bratsberg,Engineer,1985-04-20,1992-04-20
10849,Makato,Mayerwieser,Assistant Engineer,1995-06-25,2001-06-24
10858,Kenroku,Gonthier,Engineer,1997-01-01,2002-01-01
10867,Billur,Gyorkos,Engineer,1997-03-23,2002-03-22
10872,Karoline,Speel,Staff,1990-09-06,1996-09-05
10876,Vincent,Papastamatiou,Staff,1995-01-29,1999-09-14
10895,Vishwani,Petersohn,Staff,1986-04-26,1987-04-13
10909,Georgi,Atchley,Engineer,1993-12-26,2000-12-26
10912,Oscal,Fasbender,Staff,1986-04-23,1991-04-23
10918,Susumu,Reghbati,Staff,1990-01-29,1990-10-10
10920,Ronghao,Narahara,Staff,1992-02-24,1998-02-23
10921,Mara,Bahi,Engineer,1986-07-27,1995-07-27
10922,Kyoichi,Wossner,Staff,1996-02-02,1999-01-16
10924,Hironoby,Atchley,Staff,1988-08-14,1997-08-14
10926,Leni,Eppinger,Engineer,1990-04-30,1995-04-30
10927,Gal,Scallan,Staff,1986-09-12,1993-09-12
10930,Arch,Minakawa,Engineer,1991-11-22,1998-11-22
10932,Avishai,Picci,Engineer,1994-09-09,1999-09-09
10936,Mountaz,Schicker,Staff,1990-05-09,1996-05-08
10940,Aleksander,Fioravanti,Engineer,1997-06-30,1999-12-02
10943,Berna,Skafidas,Engineer,1993-05-22,1999-05-22
10947,Gor,Usery,Staff,1995-11-16,2001-11-15
10948,Shigehito,Brodie,Senior Engineer,1996-09-30,1997-06-23
10949,Shigeichiro,Wroclawski,Staff,1990-06-29,1996-06-28
10971,Isamu,Vadhan,Technique Leader,1991-07-30,1998-10-24
10985,Chiradeep,Furedi,Engineer,1999-02-11,1999-03-10
10989,Sumali,Candan,Staff,1985-07-20,1991-07-20
10996,Matk,Rahimi,Staff,1990-02-07,1996-02-07
11002,Bluma,Ulupinar,Senior Staff,1998-11-21,2001-12-07
11004,JoAnna,Decleir,Engineer,1992-01-19,1998-01-18
11009,Alper,Axelband,Staff,1986-09-09,1993-09-09
11019,Leon,Huttel,Engineer,1992-05-24,1997-05-24
11024,Manton,Collavizza,Staff,1995-04-05,2001-05-18
11027,Remzi,Cappello,Assistant Engineer,1986-05-07,1991-05-07
11028,Miyeon,Krider,Engineer,1986-06-18,1991-06-18
11031,Ottavia,Walstra,Staff,1985-10-24,1993-10-24
11037,Lansing,Maliniak,Engineer,1988-01-28,1995-01-28
11038,Jinya,Beidas,Staff,1985-07-15,1992-07-15
11042,Gou,Breugel,Engineer,1993-06-21,2000-06-21
11050,Elvis,Katiyar,Staff,1986-05-06,1991-05-06
11051,Przemyslawa,Erol,Engineer,1991-03-27,2000-03-26
11060,Genevieve,Pokrovskii,Staff,1991-05-03,1991-09-27
11061,Pintsang,Erni,Staff,1993-02-19,2002-02-19
11064,Shawna,Vieri,Assistant Engineer,1990-02-28,1996-02-28
11070,Adib,Raney,Engineer,1985-07-24,1991-07-24
11071,Kwan,Sigstam,Engineer,1992-05-23,2001-05-23
11077,Hideyuki,Merro,Senior Staff,1998-04-30,1998-10-11
11079,Piyush,Garigliano,Engineer,1994-05-26,2001-05-26
11081,Barry,Boyle,Staff,1985-06-17,1994-06-17
11083,Shimshon,Ducloy,Staff,1992-10-04,2000-10-04
11084,Greger,Senzako,Engineer,1990-05-31,1999-05-31
11100,Berna,Cochrane,Staff,1986-10-13,1993-10-13
11106,Aris,Iwayama,Engineer,1991-08-31,1997-08-30
11110,Valeska,Birjandi,Staff,1987-11-14,1992-03-30
11113,Shahab,Peng,Staff,1985-11-30,1991-11-30
11114,Tse,Felcyn,Staff,1993-02-13,1999-06-22
11119,Ramzi,Luga,Engineer,1994-06-21,1995-10-23
11121,Vugranam,Kakkad,Engineer,1992-10-31,1999-11-01
11132,Kristin,Harnett,Engineer,1994-08-30,1999-08-30
11134,Sachar,Rajcani,Engineer,1993-05-19,2002-05-19
11139,Bogdan,Homond,Staff,1990-05-11,1995-05-11
11144,Carrsten,Heinisuo,Staff,1996-07-19,2002-07-19
11145,Jinxi,Baak,Engineer,1999-04-23,1999-05-24
11146,Ishfaq,Masand,Staff,1991-08-22,1997-08-21
11148,Zhanqiu,Botman,Staff,1990-02-08,1997-02-08
11156,Tomoyuki,Armand,Staff,1995-09-07,1998-07-31
11158,Masaki,Hagimont,Engineer,1996-04-20,2002-04-20
11162,Kauko,Narlikar,Engineer,1985-03-28,1990-03-28
11168,Shmuel,Tetzlaff,Staff,1996-07-15,2001-07-15
11180,Mitsuyuki,Bojadziev,Engineer,1986-06-11,1992-06-10
11185,Aloys,Baezner,Staff,1995-01-26,2000-01-26
11186,Kshitij,Stasinski,Engineer,1994-12-10,2000-12-09
11195,Masanao,Lovengreen,Senior Engineer,1991-06-13,1999-05-16
11203,Sakthirel,Yetto,Staff,1988-01-06,1996-01-06
11206,Steen,Sury,Staff,1993-05-07,2000-05-04
11218,Kirk,Hemaspaandra,Technique Leader,1994-04-06,2002-04-19
11221,Alselm,Hammerschmidt,Engineer,1989-08-22,1995-03-13
11229,Gretta,Ramamoorthy,Engineer,1991-07-26,2000-07-25
11232,Hidefumi,Crelier,Staff,1994-08-02,2000-08-01
11233,Sanjit,Waschkowski,Engineer,1991-12-14,1998-12-14
11240,Kiam,Condotta,Assistant Engineer,1989-01-06,1997-01-06
11249,Randi,Cyre,Assistant Engineer,1986-09-22,1994-09-22
11251,Bezalel,Chinal,Staff,1986-06-15,1993-06-15
11253,Koldo,Pokrovskii,Engineer,1992-05-22,2000-05-22
11258,Aris,Maccarone,Staff,1991-03-28,1998-03-28
11266,Florina,Rohrbach,Engineer,1997-05-12,2002-05-12
11268,Aimee,Petersohn,Engineer,1987-10-25,1995-10-25
11275,Hitomi,Eppinger,Engineer,1989-04-25,1998-04-25
11288,Domenico,Eastman,Senior Staff,1997-06-03,1997-09-28
11289,Chuanti,Cherinka,Engineer,1989-02-22,1996-02-23
11291,Gino,Glowinski,Senior Engineer,1985-10-20,2001-04-15
11292,Souichi,Sichman,Engineer,1989-02-11,1996-02-12
11294,Tru,Segond,Engineer,1994-06-13,1999-06-13
11295,Abdelkader,Lanzelotte,Staff,1985-05-15,1990-05-15
11296,Hironobu,Kenevan,Engineer,1989-09-26,1994-09-26
11297,Geraldo,Levergood,Engineer,1991-02-16,1991-02-22
11300,Lillian,Fontet,Engineer,1992-09-10,1996-12-20
11301,Mingzeng,Oxenboll,Staff,1989-05-23,1996-05-23
11302,Shem,Senzako,Staff,1991-07-01,1993-01-29
11315,Neven,Meriste,Staff,2000-01-18,2002-01-17
11317,Shigeaki,Hagimont,Staff,1995-09-08,2000-09-07
11320,Atilio,McAlpine,Staff,1990-04-06,1998-04-06
11322,Nathalie,Pocchiola,Engineer,1992-07-07,1999-07-08
11326,Munenori,Plesums,Engineer,1990-02-19,1999-02-19
11340,Aris,Bala,Engineer,1991-09-11,1998-09-11
11343,Susanne,Erez,Engineer,1989-02-27,1995-02-27
11347,Anneli,Jonsson,Engineer,1986-04-20,1992-04-19
11349,Yurii,Hammerschmidt,Assistant Engineer,1992-06-27,1999-06-28
11360,Fen,Schach,Staff,1989-01-12,1997-01-12
11372,Susanta,Vilarrasa,Senior Staff,1993-05-14,2000-05-04
11373,Yongmao,Keohane,Staff,1992-07-18,2000-07-18
11376,Valery,Suomi,Staff,1986-03-14,1994-03-14
11380,Kenroku,Pelc,Assistant Engineer,1991-04-19,1996-04-18
11386,Alselm,Assaf,Engineer,1987-11-30,1993-11-29
11387,Jordanka,Kalloufi,Engineer,1997-05-11,1997-12-13
11393,Junsik,Junot,Engineer,1985-04-30,1992-04-30
11398,Oscar,Peir,Staff,1994-09-07,2001-09-07
11406,Eberhardt,Gini,Staff,1989-03-13,1996-03-13
11414,Eishiro,Pearson,Staff,1989-01-02,1996-01-03
11421,Josyula,Msuda,Engineer,1986-09-02,1995-09-02
11428,Remco,Reinhart,Engineer,1994-07-31,1998-07-04
11431,Youngkon,Picht,Staff,1985-09-16,1991-09-16
11446,Naftali,Narahara,Engineer,1991-04-06,1999-04-06
11449,Kotesh,Asser,Engineer,1995-02-03,2000-02-03
11452,Shigehito,Luby,Staff,1993-08-26,2001-08-26
11459,Duke,Suomi,Staff,1986-05-03,1992-05-02
11460,Mana,Maraist,Engineer,1992-05-28,2001-05-28
11461,Kish,Cronau,Engineer,1986-08-19,1992-08-18
11468,Navin,Maksimenko,Staff,1996-03-19,1997-04-07
11469,Guttorm,Giaccio,Engineer,1994-09-08,1999-09-08
11477,Fox,Narahari,Engineer,1996-07-28,1996-09-12
11501,Karsten,Ranum,Staff,1991-10-24,1999-10-24
11503,Nathan,Picht,Engineer,1997-04-09,2002-04-09
11509,Aleksander,Feldhoffer,Engineer,1987-11-12,1992-11-11
11513,Otmar,Mahnke,Staff,1992-08-25,1998-08-25
11518,Jinxi,Oxman,Staff,1994-09-22,1999-09-22
11521,Eldridge,Eastman,Staff,1995-10-17,2000-06-08
11523,Yuguang,Pezzoli,Assistant Engineer,1992-12-23,1998-12-23
11526,Tonny,Impagliazzo,Staff,1992-02-23,1998-02-22
11540,Chanjung,Portugali,Engineer,1997-07-02,2002-07-02
11555,Kotesh,Perfilyeva,Staff,1986-10-14,1991-10-14
11562,Rimli,Alencar,Engineer,1988-06-30,1994-12-13
11567,Teiji,Mitzlaff,Staff,1988-02-03,1996-02-03
11568,Martins,Fujisaki,Engineer,1992-03-13,2000-03-13
11573,Pranas,Hutton,Engineer,1990-02-04,1995-02-04
11575,Godehard,Plotkin,Assistant Engineer,1994-06-01,2000-05-31
11577,Mayumi,Deyuan,Engineer,1992-09-23,1998-09-23
11578,Edwin,Rosti,Engineer,1985-11-22,1991-11-22
11581,Patricio,Rosenbaum,Engineer,1992-11-13,2001-11-13
11588,Kaijung,Panangaden,Senior Staff,1994-12-24,1995-06-12
11589,Gina,Plessier,Engineer,1994-05-06,2001-05-06
11597,Yongdong,Talmon,Senior Engineer,1990-02-01,1998-12-07
11602,Somnath,Malabarba,Staff,1993-06-21,2001-06-21
11603,Herb,Swen,Staff,1985-04-13,1994-04-13
11606,Perry,Pepe,Staff,1994-09-27,1999-09-27
11615,Shem,Isaak,Staff,1991-08-29,2000-08-28
11616,Zhilian,Brendel,Assistant Engineer,1993-12-30,1998-12-30
11624,Adil,Gammage,Engineer,1989-07-15,1996-07-15
11628,Fan,Malinowski,Engineer,1988-10-23,1997-10-23
11636,Fumitaka,Shiratori,Engineer,1992-11-16,1998-01-01
11647,Magy,Nitsche,Engineer,1988-05-11,1993-05-11
11660,Gill,Stenning,Staff,1986-11-22,1994-11-22
11667,Kristian,Marchegay,Staff,1990-09-08,1996-09-07
11681,Fumitake,Benzmuller,Engineer,1988-08-27,1995-08-28
11684,Oksana,Gide,Staff,1986-02-21,1995-02-21
11686,Nadjib,Srimani,Senior Staff,2000-04-20,2000-07-22
11696,Dante,Rothe,Staff,1985-10-23,1994-10-23
11705,Arve,Hofmeyr,Staff,1985-10-30,1990-10-30
11708,Chenye,Angot,Staff,1992-09-18,1996-07-28
11713,Danel,Heusch,Engineer,1994-10-04,2000-10-03
11733,Leszek,Sudbeck,Engineer,1992-01-12,2001-01-11
11735,Amalendu,Picci,Staff,1988-07-14,1997-07-14
11738,Tadahiro,Lichtman,Engineer,1986-06-19,1992-06-18
11746,Koichi,Marrakchi,Staff,1988-11-17,1995-11-18
11747,Aksel,Kossowski,Staff,1986-02-20,1993-02-20
11751,Jiafu,Emiris,Staff,1988-11-03,1993-11-03
11755,Zhenbing,Karner,Senior Staff,1996-12-04,2002-01-08
11764,Sanjay,Anick,Engineer,1991-12-16,1996-12-15
11765,Zorica,Junet,Staff,1991-07-04,2000-07-03
11769,Chandrasekaran,Lampe,Staff,1993-10-22,2001-10-22
11770,Arumugam,Jakobus,Engineer,1992-11-29,2000-11-29
11778,Dhritiman,Fontan,Engineer,1992-12-28,1997-12-28
11797,Chenxi,Thambidurai,Staff,1988-08-30,1996-08-30
11801,Tommaso,Dayang,Staff,1992-06-12,1997-06-12
11805,Rosine,Grandbois,Assistant Engineer,1985-09-01,1991-02-05
11811,Herb,Boissier,Staff,1992-03-28,1998-03-28
11813,Gita,Muhlberg,Staff,1987-03-16,1991-07-20
11814,Manohar,Shinomoto,Staff,1996-06-09,1998-10-24
11817,Niranjan,Markovitch,Staff,1986-04-12,1993-04-12
11821,Mary,Piazza,Senior Engineer,1995-12-13,2001-10-26
11838,Taiji,Nitta,Staff,1986-07-11,1991-05-09
11842,Moto,Piazza,Staff,1991-12-11,1999-12-11
11844,Shawna,Demeyer,Engineer,1988-01-27,1995-01-27
11846,Fai,Perly,Engineer,1994-06-22,1999-06-22
11847,Tzvetan,Brandsma,Senior Engineer,1996-01-13,1999-05-23
11853,Zeljko,Kusakabe,Staff,1988-11-17,1996-11-17
11862,Alejandra,Deville,Engineer,1993-01-20,1998-01-20
11871,Nalini,Sommen,Engineer,1993-10-13,1998-10-13
11872,Cheong,Riexinger,Staff,1994-02-12,2002-02-12
11876,Leszek,Kobuchi,Engineer,1991-06-08,2000-06-07
11877,Heng,Sudkamp,Senior Staff,1995-09-17,1999-06-09
11881,Arra,Staelin,Staff,1990-04-08,1995-04-08
11883,Nectarios,Bhattacharjee,Engineer,1988-04-16,1990-10-28
11888,Badri,Azulay,Staff,1994-11-28,1999-11-28
11897,Cordelia,Setlzner,Staff,1988-06-16,1997-06-16
11911,Ashish,Mondadori,Engineer,1990-06-05,1995-06-05
11915,Miomir,Mawatari,Engineer,1992-06-28,2001-06-28
11931,Gunilla,Chiodo,Staff,1991-01-13,2000-01-13
11933,Basil,Erman,Engineer,1987-06-13,1992-06-12
11939,Chinhyun,Basart,Technique Leader,1992-08-14,1993-10-29
11948,Yahiko,Nergos,Engineer,1995-05-10,2002-05-10
11951,Bernt,Haumacher,Assistant Engineer,1989-10-14,1995-10-14
11983,Jaana,Hedayat,Engineer,1986-10-11,1994-10-11
11987,Vidya,Schaar,Senior Staff,1994-10-17,1997-12-04
11988,Chinya,Chinin,Senior Engineer,1990-11-03,2001-12-31
11994,Sigeru,Fiebach,Staff,1993-11-11,1999-11-11
11997,Heon,Mawatari,Staff,1999-02-21,1999-08-06
12007,Marko,Dehkordi,Engineer,1989-05-17,1996-05-17
12008,Frederique,Zykh,Engineer,1991-08-07,1993-03-24
12011,Zhilian,Coorg,Staff,1988-07-22,1997-07-22
12021,Chikara,Rahimi,Engineer,1991-09-30,2000-09-29
12025,Jaewoo,Heiserman,Staff,1985-02-28,1990-06-09
12028,Ingemar,Walstra,Engineer,1992-09-02,1997-09-02
12033,Visit,Serot,Engineer,1997-11-30,1999-02-07
12036,Mads,Ratzlaff,Staff,1986-09-05,1995-09-05
12037,Arunas,Katzenelson,Staff,1986-10-01,1992-09-30
12050,Yuchang,Tchuente,Assistant Engineer,1989-04-01,1996-04-01
12052,Masako,Khasidashvili,Technique Leader,1986-04-07,1988-08-29
12055,Rutger,Kilgore,Staff,1990-06-22,1995-06-16
12063,Lein,Bale,Engineer,1994-07-24,2002-07-24
12069,Ayonca,Burnard,Assistant Engineer,1985-05-13,1990-05-13
12077,Steve,Hutton,Engineer,1994-01-30,1999-01-30
12080,Panayotis,Feinberg,Staff,1993-05-17,2001-05-17
12082,Xinan,Yamaashi,Staff,1986-01-29,1992-01-29
12087,Weijing,Jumpertz,Engineer,1986-08-16,1993-03-24
12089,Bilhanan,Socorro,Staff,1986-10-22,1994-10-22
12093,Evgueni,Oxenboll,Engineer,1994-01-19,1999-01-19
12095,Fai,Smeets,Senior Engineer,1995-04-04,2001-11-07
12099,Nobuyoshi,Kuzuoka,Staff,1994-02-15,1999-02-15
12103,Becky,Erie,Staff,1990-04-23,1992-09-18
12104,Dulce,Kohling,Senior Engineer,1997-06-12,2002-02-08
12112,Satyanarayana,Avouris,Staff,1989-09-26,1997-09-26
12122,Satoru,Krone,Engineer,1987-07-24,1992-07-23
12123,Xiahua,Syrzycki,Staff,1987-07-18,1994-07-18
12128,Yannik,Barreiro,Staff,1997-08-16,1998-11-25
12148,Hidde,Garigliano,Assistant Engineer,1997-06-24,1997-11-21
12173,Adel,Nanard,Senior Engineer,1998-09-20,2000-05-20
12186,Guther,Nooteboom,Staff,1993-01-24,1998-01-24
12192,Feiyu,Klyachko,Engineer,1986-09-02,1991-09-02
12206,Barton,Janetzko,Engineer,1993-03-27,2001-03-27
12210,Vugranam,Ashish,Staff,1992-11-08,1997-11-08
12213,Kwangho,Brizzi,Staff,1994-11-01,2000-10-31
12218,Yaghout,Strooper,Engineer,1991-03-12,2000-03-11
12221,Vincent,Melter,Engineer,1985-09-16,1991-09-16
12222,Abdelwaheb,Holburn,Staff,1987-08-15,1996-08-14
12223,Niteen,Koyama,Engineer,1986-08-13,1995-08-13
12242,Satoru,Wolniewicz,Assistant Engineer,1994-11-12,2000-11-11
12249,Eldridge,Sadowski,Engineer,1987-06-21,1996-06-20
12254,Chaitali,Stafford,Engineer,1988-12-23,1989-10-31
12256,Guadalupe,Reghbati,Staff,1985-08-26,1992-08-26
12258,Kankanahalli,Eiter,Engineer,1990-06-22,1999-06-22
12269,Mohammed,Whitcomb,Engineer,1994-07-06,2000-07-05
12270,Shakhar,Kornyak,Staff,1989-08-19,1996-08-19
12272,Behnaam,Grandbois,Staff,1987-12-08,1992-12-07
12273,Jaideep,Uehara,Staff,1991-02-14,1998-02-14
12274,Garnik,Papadias,Engineer,1988-04-01,1989-01-18
12276,Yongmin,Lenart,Engineer,1993-06-13,2001-06-13
12281,Hisao,Langford,Engineer,1993-09-22,2000-09-22
12291,Masamitsu,Koyama,Staff,1993-03-29,1999-03-29
12303,Godehard,Braccini,Senior Staff,1988-06-13,1988-07-19
12308,Mototsugu,Cronau,Staff,1985-08-11,1991-08-11
12312,Chenye,Velasco,Assistant Engineer,1988-11-24,1994-11-24
12316,Hyuncheol,Duclos,Assistant Engineer,1992-04-05,1998-04-05
12327,DAIDA,Bruckman,Engineer,1986-10-16,1992-10-15
12335,Arnould,Genin,Senior Staff,1995-12-01,2000-06-19
12341,Rasiah,Luga,Engineer,1985-05-25,1990-05-25
12343,Sorina,Slaats,Staff,1988-08-25,1997-08-25
12345,Xuedong,Mellouli,Engineer,1990-07-09,1997-07-09
12351,Gennady,Zizka,Engineer,1997-08-26,1999-02-16
12355,Vidar,Hutton,Engineer,1989-11-08,1995-11-08
12365,Kamakshi,Bisiani,Engineer,1988-09-12,1994-09-12
12366,Patricio,Setlzner,Staff,1994-07-16,2000-01-20
12368,Gor,Dechter,Staff,1992-06-14,2000-06-14
12380,Menkae,Farrow,Staff,1991-09-03,1991-09-15
12381,Amalendu,Klerer,Staff,1989-06-24,1998-06-24
12399,Mihalis,Luga,Staff,1987-12-07,1996-12-06
12407,Jianwen,Brodie,Engineer,1993-12-03,1999-09-13
